,lifes,levelSize,speed,nbOfCollectibles,maxDistBTPlatform,Proc_miniPlatform,Proc_smallPlatform,Proc_mediumPlatform,Proc_hugePlatform,Proc_tunnelPlatform,Proc_stairPlatform,Proc_balcony,Proc_enemy,Proc_box,Proc_vase,Proc_coin,Proc_miniHouse,,,,,,
lvl_1,1,6000,35,2,30,10,10,10,10,0,0,0,0,0,0,30,0,,,,,,
lvl_2,1,7000,35,2,30,0,0,0,0,10,10,10,12,0,0,30,0,,,,,,
lvl_3,1,8000,35,2,30,10,10,10,10,10,10,10,12,0,0,30,0,,,,,,
lvl_4,1,9000,35,2,30,10,10,10,10,10,10,10,12,0,30,30,0,,,,,,
lvl_5,1,10000,35,2,30,10,10,10,10,10,10,10,14,30,0,30,0,,,,,,
lvl_6,1,11000,35,2,35,10,10,10,10,10,10,10,14,0,0,30,0,,,,,,
lvl_7,1,12000,35,2,40,10,10,10,10,10,10,10,14,7,10,30,30,,,,,,
lvl_8,1,13000,35,2,45,10,10,10,10,10,10,10,14,7,10,30,7,,,,,,
lvl_9,1,14000,35,2,50,10,10,10,10,10,10,10,14.1,7.1,10.1,30,7.1,,,,,,
lvl_10,1,15000,35,2,51,10,10,10,10,10,10,10,14.2,7.2,10.2,30,7.2,,,,,,
lvl_11,1,15500,35,2,52,10,10,10,10,10,10,10,14.3,7.3,10.3,30,7.3,,,,,,
lvl_12,1,16000,35,2,53,10,10,10,10,10,10,10,14.4,7.4,10.4,30,7.4,,,,,,
lvl_13,1,16500,35,2,54,10,10,10,10,10,10,10,14.5,7.5,10.5,30,7.5,,,,,,
lvl_14,1,17000,35,2,55,10,10,10,10,10,10,10,14.6,7.6,10.6,30,7.6,,,,,,
lvl_15,1,17500,35,2,56,10,10,10,10,10,10,10,14.7,7.7,10.7,30,7.7,,,,,,
lvl_16,1,18000,35,2,57,10,10,10,10,10,10,10,14.8,7.8,10.8,30,7.8,,,,,,
lvl_17,1,18500,35,2,58,10,10,10,10,10,10,10,14.9,7.9,10.9,30,7.9,,,,,,
lvl_18,1,19000,35,2,59,10,10,10,10,10,10,10,15,8,11,30,8,,,,,,
lvl_19,1,19500,35,2,60,10,10,10,10,10,10,10,15.1,8.1,11.1,30,8.1,,,,,,
lvl_20,1,20000,35,2,61,10,10,10,10,10,10,10,15.2,8.2,11.2,30,8.2,,,,,,
lvl_21,1,20500,40,2,62,10,10,10,10,10,10,10,15.3,8.3,11.3,30,8.3,,,,,,
lvl_22,1,21000,40,2,63,10,10,10,10,10,10,10,15.4,8.4,11.4,30,8.4,,,,,,
lvl_23,1,21500,40,2,64,10,10,10,10,10,10,10,15.5,8.5,11.5,30,8.5,,,,,,
lvl_24,1,22000,40,2,65,10,10,10,10,10,10,10,15.6,8.6,11.6,30,8.6,,,,,,
lvl_25,1,22500,40,2,66,10,10,10,10,10,10,10,15.7,8.7,11.7,30,8.7,,,,,,
lvl_26,1,23000,40,2,67,10,10,10,10,10,10,10,15.8,8.8,11.8,30,8.8,,,,,,
lvl_27,1,23500,40,2,68,10,10,10,10,10,10,10,15.9,8.9,11.9,30,8.9,,,,,,
lvl_28,1,24000,40,2,69,10,10,10,10,10,10,10,16,9,12,30,9,,,,,,
lvl_29,1,24500,40,2,70,10,10,10,10,10,10,10,16.1,9.1,12.1,30,9.1,,,,,,
lvl_30,1,25000,40,2,70.5,10,10,10,10,10,10,10,16.2,9.2,12.2,30,9.2,,,,,,
lvl_31,1,25500,45,2,71,10,10,10,10,10,10,10,16.3,9.3,12.3,30,9.3,,,,,,
lvl_32,1,26000,45,2,71.5,10,10,10,10,10,10,10,16.4,9.4,12.4,30,9.4,,,,,,
lvl_33,1,26500,45,2,72,10,10,10,10,10,10,10,16.5,9.5,12.5,30,9.5,,,,,,
lvl_34,1,27000,45,2,72.5,10,10,10,10,10,10,10,16.6,9.6,12.6,30,9.6,,,,,,
lvl_35,1,27500,45,2,73,10,10,10,10,10,10,10,16.7,9.7,12.7,30,9.7,,,,,,
lvl_36,1,28000,45,2,73.5,10,10,10,10,10,10,10,16.8,9.8,12.8,30,9.8,,,,,,
lvl_37,1,28500,45,2,74,10,10,10,10,10,10,10,16.9,9.9,12.9,30,9.9,,,,,,
lvl_38,1,29000,45,2,74.5,10,10,10,10,10,10,10,17,10,13,30,10,,,,,,
lvl_39,1,29500,45,2,75,10,10,10,10,10,10,10,17.1,10.1,13.1,30,10.1,,,,,,
lvl_40,1,30000,45,2,75.5,10,10,10,10,10,10,10,17.2,10.2,13.2,30,10.2,,,,,,
lvl_41,1,30500,50,2,76,10,10,10,10,10,10,10,17.3,10.3,13.3,30,10.3,,,,,,
lvl_42,1,31000,50.5,2,76.5,10,10,10,10,10,10,10,17.4,10.4,13.4,30,10.4,,,,,,
lvl_43,1,31500,51,2,77,10,10,10,10,10,10,10,17.5,10.5,13.5,30,10.5,,,,,,
lvl_44,1,32000,51.5,2,77.5,10,10,10,10,10,10,10,17.6,10.6,13.6,30,10.6,,,,,,
lvl_45,1,32500,52,2,78,10,10,10,10,10,10,10,17.7,10.7,13.7,30,10.7,,,,,,
lvl_46,1,33000,52.5,2,78.5,10,10,10,10,10,10,10,17.8,10.8,13.8,30,10.8,,,,,,
lvl_47,1,33500,53,2,79,10,10,10,10,10,10,10,17.9,10.9,13.9,30,10.9,,,,,,
lvl_48,1,34000,53.5,2,79.5,10,10,10,10,10,10,10,18,11,14,30,11,,,,,,
lvl_49,1,34500,54,2,80,10,10,10,10,10,10,10,18.1,11.1,14.1,30,11.1,,,,,,101
lvl_50,1,35000,54.5,2,80.5,15,10,10,10,10,10,10,18.2,11.2,14.2,30,11.2,,,,,,
lvl_51,1,35500,55,2,81,15,10,10,10,10,10,10,18.3,11.3,14.3,30,11.3,,,,,,
lvl_52,1,36000,55.5,2,81.5,15,10,10,10,10,10,10,18.4,11.4,14.4,30,11.4,,,,,,
lvl_53,1,36500,56,2,82,15,10,10,10,10,10,10,18.5,11.5,14.5,30,11.5,,,,,,
lvl_54,1,37000,56.5,2,82.5,15,10,10,10,10,10,10,18.6,11.6,14.6,30,11.6,,,,,,
lvl_55,1,37500,57,2,83,15,10,10,10,10,10,10,18.7,11.7,14.7,30,11.7,,,,,,
lvl_56,1,38000,57.5,2,83.5,15,10,10,10,10,10,10,18.8,11.8,14.8,30,11.8,,,,,,
lvl_57,1,38500,58,2,84,15,10,10,10,10,10,10,18.9,11.9,14.9,30,11.9,,,,,,
lvl_58,1,39000,58.5,2,84.5,15,10,10,10,10,10,10,19,12,15,30,12,,,,,,
lvl_59,1,39500,59,2,85,15,10,10,10,10,10,10,19.1,12.1,15.1,30,12.1,,,,,,
lvl_60,1,40000,59.5,2,85.5,15,10,10,10,10,10,10,19.2,12.2,15.2,30,12.2,,,,,,
lvl_61,1,40500,60,2,86,15,10,10,10,10,10,10,19.3,12.3,15.3,30,12.3,,,,,,
lvl_62,1,41000,60.5,2,86.5,15,10,10,10,10,10,10,19.4,12.4,15.4,30,12.4,,,,,,
lvl_63,1,41500,61,2,87,15,10,10,10,10,10,10,19.5,12.5,15.5,30,12.5,,,,,,
lvl_64,1,42000,61.5,2,87.5,15,10,10,10,10,10,10,19.6,12.6,15.6,30,12.6,,,,,,
lvl_65,1,42500,62,2,88,15,10,10,10,10,10,10,19.7,12.7,15.7,30,12.7,,,,,,
lvl_66,1,43000,62.5,2,88.5,15,10,10,10,10,10,10,19.8,12.8,15.8,30,12.8,,,,,,
lvl_67,1,43500,63,2,89,15,10,10,10,10,10,10,19.9,12.9,15.9,30,12.9,,,,,,
lvl_68,1,44000,63.5,2,89.5,15,10,10,10,10,10,10,20,13,16,30,13,,,,,,
lvl_69,1,44500,64,2,90,15,10,10,10,10,10,10,20.1,13.1,16.1,30,13.1,,,,,,
lvl_70,1,45000,64.5,2,90.5,15,10,10,10,10,10,10,20.2,13.2,16.2,30,13.2,,,,,,
lvl_71,1,45500,65,2,91,15,10,10,10,10,10,10,20.3,13.3,16.3,30,13.3,,,,,,
lvl_72,1,46000,65.5,2,91.5,15,10,10,10,10,10,10,20.4,13.4,16.4,30,13.4,,,,,,
lvl_73,1,46500,66,2,92,15,10,10,10,10,10,10,20.5,13.5,16.5,30,13.5,,,,,,
lvl_74,1,47000,66.5,2,92.5,15,10,10,10,10,10,10,20.6,13.6,16.6,30,13.6,,,,,,
lvl_75,1,47500,67,2,93,15,10,10,10,10,10,10,20.7,13.7,16.7,30,13.7,,,,,,
lvl_76,1,48000,67.5,2,93.5,15,10,10,10,10,10,10,20.8,13.8,16.8,30,13.8,,,,,,
lvl_77,1,48500,68,2,94,15,10,10,10,10,10,10,20.9,13.9,16.9,30,13.9,,,,,,
lvl_78,1,49000,68.5,2,94.5,15,10,10,10,10,10,10,21,14,17,30,14,,,,,,
lvl_79,1,49500,69,2,95,15,10,10,10,10,10,10,21.1,14.1,17.1,30,14.1,,,,,,
lvl_80,1,50000,69.5,2,95.5,15,10,10,10,10,10,10,21.2,14.2,17.2,30,14.2,,,,,,
lvl_81,1,50500,70,2,96,15,10,10,10,10,10,10,21.3,14.3,17.3,30,14.3,,,,,,
lvl_82,1,51000,70.5,2,96.5,15,10,10,10,10,10,10,21.4,14.4,17.4,30,14.4,,,,,,
lvl_83,1,51500,71,2,97,15,10,10,10,10,10,10,21.5,14.5,17.5,30,14.5,,,,,,
lvl_84,1,52000,71.5,2,97.5,15,10,10,10,10,10,10,21.6,14.6,17.6,30,14.6,,,,,,
lvl_85,1,52500,72,2,98,15,10,10,10,10,10,10,21.7,14.7,17.7,30,14.7,,,,,,
lvl_86,1,53000,72.5,2,99,15,10,10,10,10,10,10,21.8,14.8,17.8,30,14.8,,,,,,
lvl_87,1,53500,73,2,99,15,10,10,10,10,10,10,21.9,14.9,17.9,30,14.9,,,,,,
lvl_88,1,54000,73.5,2,99,15,10,10,10,10,10,10,22,15,18,30,15,,,,,,
lvl_89,1,54500,74,2,99,15,10,10,10,10,10,10,22.1,15.1,18.1,30,15.1,,,,,,
lvl_90,1,55000,74.5,2,99,15,10,10,10,10,10,10,22.2,15.2,18.2,30,15.2,,,,,,
lvl_91,1,55500,75,2,100,15,10,10,10,10,10,10,22.3,15.3,18.3,30,15.3,,,,,,
lvl_92,1,56000,75.5,2,100,15,10,10,10,10,10,10,22.4,15.4,18.4,30,15.4,,,,,,
lvl_93,1,56500,76,2,100,15,10,10,10,10,10,10,22.5,15.5,18.5,30,15.5,,,,,,
lvl_94,1,57000,76.5,2,100,15,10,10,10,10,10,10,22.6,15.6,18.6,30,15.6,,,,,,
lvl_95,1,57500,77,2,100,15,10,10,10,10,10,10,22.7,15.7,18.7,30,15.7,,,,,,
lvl_96,1,58000,77.5,2,100,15,10,10,10,10,10,10,22.8,15.8,18.8,30,15.8,,,,,,
lvl_97,1,58500,78,2,100,15,10,10,10,10,10,10,22.9,15.9,18.9,30,15.9,,,,,,
lvl_98,1,59000,78.5,2,100,15,10,10,10,10,10,10,23,16,19,30,16,,,,,,
lvl_99,1,59500,79,2,100,15,10,10,10,10,10,10,23.1,16.1,19.1,30,16.1,,,,,,
lvl_100,1,60000,100,2,100,15,10,10,10,10,10,10,23,16.2,19.2,30,16.2,,,,,,
